CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRM1;3;2596.18
POF_Declarado;21/08/2025;PT1D;COP/kWh;GE32;0;278.41
POF_Declarado;21/08/2025;PT1D;COP/kWh;TCDT;2;1093.49
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSR1;1;1801.71
POF_Declarado;21/08/2025;PT1D;COP/kWh;CLMG;0;285
POF_Declarado;21/08/2025;PT1D;COP/kWh;3DDT;0;93.98
POF_Declarado;21/08/2025;PT1D;COP/kWh;LTSJ;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;3ENA;0;853.12
POF_Declarado;21/08/2025;PT1D;COP/kWh;TYP1;0;898
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBQ3;0;1216.24
POF_Declarado;21/08/2025;PT1D;COP/kWh;3IZ6;0;87
POF_Declarado;21/08/2025;PT1D;COP/kWh;TFL1;1;1120.05
POF_Declarado;21/08/2025;PT1D;COP/kWh;CTG2;0;1732.36
POF_Declarado;21/08/2025;PT1D;COP/kWh;GYPO;0;93.98
POF_Declarado;21/08/2025;PT1D;COP/kWh;QUI1;0;101.5
POF_Declarado;21/08/2025;PT1D;COP/kWh;ZPA5;0;340
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;10;732.42
POF_Declarado;21/08/2025;PT1D;COP/kWh;TCDT;1;1199.76
POF_Declarado;21/08/2025;PT1D;COP/kWh;MOY1;0;104.1
POF_Declarado;21/08/2025;PT1D;COP/kWh;TYP3;0;93
POF_Declarado;21/08/2025;PT1D;COP/kWh;SMI1;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;PRC3;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;ALBG;0;119
POF_Declarado;21/08/2025;PT1D;COP/kWh;CLL1;0;89
POF_Declarado;21/08/2025;PT1D;COP/kWh;TGJ2;0;531.7
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSR1;3;981.21
POF_Declarado;21/08/2025;PT1D;COP/kWh;TGJ1;0;551.82
POF_Declarado;21/08/2025;PT1D;COP/kWh;TYP2;0;93
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;7;723.28
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSJ2;0;345
POF_Declarado;21/08/2025;PT1D;COP/kWh;TVL1;1;1225.79
POF_Declarado;21/08/2025;PT1D;COP/kWh;TCBE;0;890
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;2;800.03
POF_Declarado;21/08/2025;PT1D;COP/kWh;SLVJ;0;150
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRM1;5;2595.98
POF_Declarado;21/08/2025;PT1D;COP/kWh;TPUY;0;94.11
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBQ4;0;1209.66
POF_Declarado;21/08/2025;PT1D;COP/kWh;CTG1;0;1734.44
POF_Declarado;21/08/2025;PT1D;COP/kWh;CHVR;0;96.43
