Fecha,CodigoPlanta,numerador,denominador,precio_d,phi,YearMonth
2025-04-30,MRL1,20363065.389343884,40726130.77868777,1044.4,1044.9,2025-04
2025-04-30,PES1,6448351.872152252,12896703.744304504,104.61,105.11,2025-04
2025-04-30,PGUG,7018058.322962553,14036116.645925106,104.61,105.11,2025-04
2025-04-30,PLYS,29318400.099111084,58636800.19822217,111.12,111.62,2025-04
2025-04-30,PPA1,15570174.514505722,31140349.029011443,297.98,298.48,2025-04
2025-04-30,PPA2,20445823.75980743,40891647.51961486,274.54,275.04,2025-04
2025-04-30,PPA3,20364491.501238964,40728983.00247793,285.53,286.03,2025-04
2025-04-30,PPA4,28168780.216641374,56337560.43328275,251.26,251.76,2025-04
2025-04-30,PRC2,18127208.8443822,36254417.6887644,104.61,105.11,2025-04
2025-04-30,PRC3,7017990.3927225135,14035980.785445027,104.61,105.11,2025-04
2025-04-30,PRDO,20236218.37474276,40472436.74948552,104.61,105.11,2025-04
2025-04-30,PRG2,29206839.07408654,58413678.14817308,714.52,715.02,2025-04
2025-04-30,QUI1,29206580.977164216,58413161.95432843,112.37,112.87,2025-04
2025-04-30,SLVJ,20408165.211404223,40816330.422808446,727.37,727.87,2025-04
2025-04-30,SMI1,20226107.19833225,40452214.3966645,104.61,105.11,2025-04
