FechaHora,CodigoPlanta,precio,cantidad,Fecha,cluster,EQpos,EdQb
2025-05-06 04:00:00,3ENA,849.04,200000.0,2025-05-06,9,4763944.269705928,-55058.679843054924
2025-05-06 05:00:00,3ENA,849.04,200000.0,2025-05-06,9,5972694.21709374,1859616.3663171027
2025-05-06 06:00:00,3ENA,849.04,200000.0,2025-05-06,9,6183897.888618347,1793612.456338396
2025-05-06 07:00:00,3ENA,849.04,200000.0,2025-05-06,9,8521390.615028728,-154636.3424020626
2025-05-06 08:00:00,3ENA,849.04,200000.0,2025-05-06,9,8893147.665583955,180692.63143685999
2025-05-06 09:00:00,3ENA,849.04,200000.0,2025-05-06,9,9121537.665583955,180692.63143685999
2025-05-06 10:00:00,3ENA,849.04,200000.0,2025-05-06,9,9451242.470820084,180692.63143685999
2025-05-06 11:00:00,3ENA,849.04,200000.0,2025-05-06,9,10123161.795281895,7.367928774048342
2025-05-06 12:00:00,3ENA,849.04,200000.0,2025-05-06,9,10068421.795281895,7.367928774048342
2025-05-06 13:00:00,3ENA,849.04,200000.0,2025-05-06,9,10159071.547077848,224.76779970201483
2025-05-06 14:00:00,3ENA,849.04,200000.0,2025-05-06,9,10351529.718477588,0.0001327102456655896
2025-05-06 15:00:00,3ENA,849.04,200000.0,2025-05-06,9,10397129.718477588,0.0001327102456655896
2025-05-06 16:00:00,3ENA,849.04,200000.0,2025-05-06,9,10313339.718497634,3.009658318638905e-16
2025-05-06 17:00:00,3ENA,849.04,200000.0,2025-05-06,9,10167521.795281895,7.367928774048342
2025-05-06 18:00:00,3ENA,849.04,200000.0,2025-05-06,9,11116377.503547814,-1.0334467701297957e-79
2025-05-06 19:00:00,3ENA,849.04,200000.0,2025-05-06,9,11233703.369341793,9.265384835646445e-80
2025-05-06 20:00:00,3ENA,849.04,200000.0,2025-05-06,9,11105217.503547814,-1.0334467701297957e-79
2025-05-06 21:00:00,3ENA,849.04,200000.0,2025-05-06,9,10140471.795281895,7.367928774048342
2025-05-06 22:00:00,3ENA,849.04,200000.0,2025-05-06,9,9095762.126842022,180694.26533265508
2025-05-06 23:00:00,3ENA,849.04,200000.0,2025-05-06,9,8461058.671777952,-135224.3564193851
2025-05-05 06:00:00,3HF5,99.19,6039.35,2025-05-05,3,4965177.843156612,-54429.652880782625
2025-05-05 07:00:00,3HF5,99.19,29000.0,2025-05-05,3,5346430.7291365415,-54429.652880782625
2025-05-05 08:00:00,3HF5,99.19,57000.0,2025-05-05,3,6504445.4216784965,1929049.3099200851
2025-05-05 09:00:00,3HF5,99.19,88000.0,2025-05-05,3,8991101.204656538,-183237.0953874515
2025-05-05 10:00:00,3HF5,99.19,86364.57,2025-05-05,3,9306478.486555997,-134568.26033148784
2025-05-05 11:00:00,3HF5,99.19,79478.78,2025-05-05,3,9570148.486555997,-134568.26033148784
2025-05-05 12:00:00,3HF5,99.19,87000.0,2025-05-05,3,9620516.925986305,-134600.7521381733
2025-05-05 13:00:00,3HF5,99.19,35102.07,2025-05-05,3,9722610.533832705,178350.82242934548
2025-05-05 14:00:00,3HF5,99.19,2408.23,2025-05-05,3,9961190.533832705,178350.82242934548
2025-05-05 15:00:00,3HF5,99.19,2000.0,2025-05-05,3,10008680.533832705,178350.82242934548
2025-05-05 16:00:00,3HF5,99.19,1000.0,2025-05-05,3,9918200.533832705,178350.82242934548
2025-05-06 06:00:00,3HF5,99.19,7000.0,2025-05-06,9,8203676.620253837,-181983.5642783527
2025-05-06 07:00:00,3HF5,99.19,29000.0,2025-05-06,9,8521390.615028776,-154636.34240242172
2025-05-06 08:00:00,3HF5,99.19,46000.0,2025-05-06,9,8893147.665583955,180692.63143685964
2025-05-06 09:00:00,3HF5,99.19,57282.55,2025-05-06,9,9121537.665583955,180692.63143685964
2025-05-06 10:00:00,3HF5,99.19,63316.88,2025-05-06,9,9451242.470820084,180692.6314368596
2025-05-06 11:00:00,3HF5,99.19,70173.8,2025-05-06,9,10123161.795281895,7.367928774048342
2025-05-06 12:00:00,3HF5,99.19,66420.71,2025-05-06,9,10068421.795281895,7.367928774048342
2025-05-06 13:00:00,3HF5,99.19,54000.0,2025-05-06,9,10216018.824343862,-1766.034320818762
2025-05-06 14:00:00,3HF5,99.19,36446.63,2025-05-06,9,10351529.718477588,0.0001327102456655896
2025-05-06 15:00:00,3HF5,99.19,20000.0,2025-05-06,9,10397129.718477588,0.0001327102456655896
2025-05-06 16:00:00,3HF5,99.19,7000.0,2025-05-06,9,10313339.718497634,3.009658318638905e-16
2025-05-05 05:00:00,3INX,92.39,178.97,2025-05-05,3,4966633.214957716,-55049.39647065838
2025-05-05 06:00:00,3INX,92.39,6000.0,2025-05-05,3,4965087.51268389,-54118.01274988986
2025-05-05 07:00:00,3INX,92.39,16230.4,2025-05-05,3,5346340.398663819,-54118.01274988986
2025-05-05 08:00:00,3INX,92.39,25000.0,2025-05-05,3,6504440.293631602,1929070.8477170432
2025-05-05 09:00:00,3INX,92.39,28735.28,2025-05-05,3,8991101.204656346,-183237.09538606842
2025-05-05 10:00:00,3INX,92.39,33000.0,2025-05-05,3,9321318.56986307,-161459.73017934553
