FechaHora,precio,demanda
2025-07-24 21:00:00,186.61,10695690
2025-07-24 22:00:00,115.61,10111480
2025-07-24 23:00:00,114.61,9495830
2025-07-24 00:00:00,101.8,8975940
2025-07-24 01:00:00,101.48,8670300
2025-07-24 02:00:00,101.48,8479780
2025-07-24 03:00:00,101.48,8375590
2025-07-24 04:00:00,101.8,8497020
2025-07-24 05:00:00,101.97,8912870
2025-07-24 06:00:00,101.97,9006300
2025-07-24 07:00:00,101.97,9354790
2025-07-24 08:00:00,101.97,9788460
2025-07-24 09:00:00,101.97,10090800
2025-07-24 10:00:00,107.0,10500850
2025-07-24 11:00:00,107.0,10793780
2025-07-24 12:00:00,107.0,10755110
2025-07-24 13:00:00,110.0,10892010
2025-07-24 14:00:00,111.0,11163830
2025-07-24 15:00:00,182.0,11028020
2025-07-24 16:00:00,182.0,10875250
2025-07-24 17:00:00,140.0,10653960
2025-07-24 18:00:00,182.0,11580980
2025-07-24 19:00:00,815.85,11771740
2025-07-24 20:00:00,285.0,11621360
2025-07-24 21:00:00,182.0,10695690
2025-07-24 22:00:00,111.0,10111480
2025-07-24 23:00:00,110.0,9495830
2025-07-24 00:00:00,107.69,8975940
2025-07-24 01:00:00,107.37,8670300
2025-07-24 02:00:00,107.37,8479780
2025-07-24 03:00:00,107.37,8375590
2025-07-24 04:00:00,107.69,8497020
2025-07-24 05:00:00,107.86,8912870
2025-07-24 06:00:00,107.86,9006300
2025-07-24 07:00:00,107.86,9354790
2025-07-24 08:00:00,107.86,9788460
2025-07-24 09:00:00,107.86,10090800
2025-07-24 10:00:00,107.86,10500850
2025-07-24 11:00:00,112.89,10793780
2025-07-24 12:00:00,112.89,10755110
2025-07-24 13:00:00,115.89,10892010
2025-07-24 14:00:00,116.89,11163830
2025-07-24 15:00:00,187.89,11028020
2025-07-24 16:00:00,187.89,10875250
2025-07-24 17:00:00,145.89,10653960
2025-07-24 18:00:00,187.89,11580980
2025-07-24 19:00:00,821.74,11771740
2025-07-24 20:00:00,290.89,11621360
2025-07-24 21:00:00,187.89,10695690
2025-07-24 22:00:00,116.89,10111480
2025-07-24 23:00:00,115.89,9495830
2025-07-24 00:00:00,101.8,8975940
2025-07-24 01:00:00,101.48,8670300
2025-07-24 02:00:00,101.48,8479780
2025-07-24 03:00:00,101.48,8375590
2025-07-24 04:00:00,101.8,8497020
2025-07-24 05:00:00,101.97,8912870
2025-07-24 06:00:00,101.97,9006300
2025-07-24 07:00:00,101.97,9354790
2025-07-24 08:00:00,101.97,9788460
2025-07-24 09:00:00,101.97,10090800
2025-07-24 10:00:00,107.0,10500850
2025-07-24 11:00:00,107.0,10793780
2025-07-24 12:00:00,107.0,10755110
2025-07-24 13:00:00,110.0,10892010
2025-07-24 14:00:00,111.0,11163830
2025-07-24 15:00:00,182.0,11028020
2025-07-24 16:00:00,182.0,10875250
2025-07-24 17:00:00,140.0,10653960
2025-07-24 18:00:00,182.0,11580980
2025-07-24 19:00:00,815.85,11771740
2025-07-24 20:00:00,285.0,11621360
2025-07-24 21:00:00,182.0,10695690
2025-07-24 22:00:00,111.0,10111480
2025-07-24 23:00:00,110.0,9495830
2025-07-24 00:00:00,101.8,8975940
2025-07-24 01:00:00,101.48,8670300
2025-07-24 02:00:00,101.48,8479780
2025-07-24 03:00:00,101.48,8375590
2025-07-24 04:00:00,101.8,8497020
2025-07-24 05:00:00,101.97,8912870
2025-07-24 06:00:00,101.97,9006300
2025-07-24 07:00:00,101.97,9354790
2025-07-24 08:00:00,101.97,9788460
2025-07-24 09:00:00,101.97,10090800
2025-07-24 10:00:00,107.0,10500850
2025-07-24 11:00:00,107.0,10793780
2025-07-24 12:00:00,107.0,10755110
2025-07-24 13:00:00,110.0,10892010
2025-07-24 14:00:00,111.0,11163830
2025-07-24 15:00:00,182.0,11028020
2025-07-24 16:00:00,182.0,10875250
2025-07-24 17:00:00,140.0,10653960
2025-07-24 18:00:00,182.0,11580980
2025-07-24 19:00:00,815.85,11771740
2025-07-24 20:00:00,285.0,11621360
2025-07-24 21:00:00,182.0,10695690
2025-07-24 22:00:00,111.0,10111480
2025-07-24 23:00:00,110.0,9495830
2025-07-24 00:00:00,107.56,8975940
2025-07-24 01:00:00,107.24,8670300
2025-07-24 02:00:00,107.24,8479780
2025-07-24 03:00:00,107.24,8375590
2025-07-24 04:00:00,107.56,8497020
2025-07-24 05:00:00,107.72,8912870
2025-07-24 06:00:00,107.72,9006300
2025-07-24 07:00:00,107.72,9354790
2025-07-24 08:00:00,107.72,9788460
2025-07-24 09:00:00,107.72,10090800
2025-07-24 10:00:00,107.72,10500850
2025-07-24 11:00:00,112.76,10793780
2025-07-24 12:00:00,112.76,10755110
2025-07-24 13:00:00,115.76,10892010
2025-07-24 14:00:00,116.76,11163830
2025-07-24 15:00:00,187.76,11028020
2025-07-24 16:00:00,187.76,10875250
2025-07-24 17:00:00,145.76,10653960
2025-07-24 18:00:00,187.76,11580980
2025-07-24 19:00:00,821.61,11771740
2025-07-24 20:00:00,290.76,11621360
2025-07-24 21:00:00,187.76,10695690
2025-07-24 22:00:00,116.76,10111480
2025-07-24 23:00:00,115.76,9495830
2025-07-24 00:00:00,101.8,8975940
2025-07-24 01:00:00,101.48,8670300
2025-07-24 02:00:00,101.48,8479780
2025-07-24 03:00:00,101.48,8375590
2025-07-24 04:00:00,101.8,8497020
2025-07-24 05:00:00,101.97,8912870
2025-07-24 06:00:00,101.97,9006300
2025-07-24 07:00:00,101.97,9354790
2025-07-24 08:00:00,101.97,9788460
2025-07-24 09:00:00,101.97,10090800
2025-07-24 10:00:00,107.0,10500850
2025-07-24 11:00:00,107.0,10793780
2025-07-24 12:00:00,107.0,10755110
2025-07-24 13:00:00,110.0,10892010
2025-07-24 14:00:00,111.0,11163830
2025-07-24 15:00:00,182.0,11028020
2025-07-24 16:00:00,182.0,10875250
2025-07-24 17:00:00,140.0,10653960
2025-07-24 18:00:00,182.0,11580980
2025-07-24 19:00:00,815.85,11771740
2025-07-24 20:00:00,285.0,11621360
